239.1286	C18-neg	0.000375647	-2.030784901
116.9148	C18-neg	0.000428046	1.902979618
156.9199	C18-neg	0.00251818	1.892349502
156.9198	C18-neg	0.004556791	1.759924398
176.858	C18-neg	0.000611071	2.000753391
180.9211	C18-neg	0.005246171	-1.792640738
151.0389	C18-neg	0.007332699	1.806978843
98.9377	C18-neg	0.0002776	2.042920357
125.8719	C18-neg	6.76E-06	2.19774082
145.9405	C18-neg	0.000116347	1.919114502
495	C18-neg	0.000396761	2.025625878
126.9039	C18-neg	0.003742252	-1.8336883
205.9149	C18-neg	0.002698942	1.876185199
238.9315	C18-neg	2.31E-05	-2.030033736
229.1441	C18-neg	0.005101738	-1.670108351
139.0025	C18-neg	0.001738148	-1.868841645
205.9351	C18-neg	0.002217713	1.817039536
205.9352	C18-neg	1.46E-05	2.166834387
205.9353	C18-neg	0.000160909	2.039785107
146.9374	C18-neg	0.002080815	1.917062465
344	C18-neg	0.005747493	1.81794116
118.0034	C18-neg	0.007152067	-1.774394106
405	C18-neg	0.000793772	1.97120943
403	C18-neg	0.002625848	-1.848544815
248.9731	C18-neg	2.54E-05	2.149679506
236.8574	C18-neg	3.42E-05	1.93242202
281	C18-neg	0.002441444	-1.904432729
205.8391	C18-neg	6.46E-06	2.174680579
282	C18-neg	0.001098273	-1.896464202
285	C18-neg	2.03E-05	-2.069138522
186.9028	C18-neg	0.000121978	2.085491513
286	C18-neg	1.15E-06	2.232155982
239.86	C18-neg	0.000160242	2.077865034
227.1648	C18-neg	1.01E-05	-2.103434758
109.9326	C18-neg	0.007056171	-1.639584022
165.0546	C18-neg	0.002436857	-1.86746073
263	C18-neg	0.001135207	1.958653482
421	C18-neg	0.002776424	-1.886025957
260	C18-neg	0.002776424	1.889682364
116.9399	C18-neg	0.00599326	1.703204301
116.9398	C18-neg	9.60E-05	1.973520221
265	C18-neg	2.41E-05	-2.164093679
199.8986	C18-neg	2.31E-05	2.087267665
269	C18-neg	0.00926598	-1.776626731
455	C18-neg	0.001532078	1.84287072
215.1283	C18-neg	0.00019361	-1.84046548
138.0184	C18-neg	0.001135207	1.920612695
138.0183	C18-neg	0.006490967	1.80801386
378	C18-neg	4.32E-06	2.202987426
200.8802	C18-neg	0.000362008	1.875141703
141.01	C18-neg	0.009164341	-1.782732083
